X	Y	OBJECTID	COMPKEY	UNITID	UNITDESC	CONDITION	OWNERSHIP	CURRENT_STATUS	PRIMARYDISTRICTCD	SECONDARYDISTRICTCD	OVERRIDEYN	ELMNTKEY	COMPTYPE	SEGKEY	DISTANCE	WIDTH	UNITTYPE	MEASDIST	RECEIPT_NBR	PANDD_NBR	PANDD_NBR_START	PAIDAREA	SUBAREA	SIDE	PERSO_NBR	PS_CONFIGURATION	PAY_BY_PHONE	WIRELESS_CARRIER	MODEM	MODEL	CARD_READER	CATEGORY	OVERRIDECOMMENT	WKD_RATE1	WKD_START1	WKD_END1	WKD_RATE2	WKD_START2	WKD_END2	WKD_RATE3	WKD_START3	WKD_END3	SAT_RATE1	SAT_START1	SAT_END1	SAT_RATE2	SAT_START2	SAT_END2	SAT_RATE3	SAT_START3	SAT_END3	SUN_RATE1	SUN_START1	SUN_END1	SUN_RATE2	SUN_START2	SUN_END2	SUN_RATE3	SUN_START3	SUN_END3	START_TIME_WKD	END_TIME_WKD	START_TIME_SAT	END_TIME_SAT	START_TIME_SUN	END_TIME_SUN	PEAK_HOUR	SHAPE_LNG	SHAPE_LAT
-122.3134066	47.65473092	450	529903	PSL-L032	UNIVERSITY WAY NE 0380 BLOCK W SIDE ( 426) 426 FT N/O NE PACIFIC ST (NEUW-39-37)                                                                                                                                                                               	GOOD	SDOT	INSVC	DISTRICT4	 	N	35837	109	13215	486	26	PSL	426	L032	12032002	12032	University District	Core	W	1354	15806	87987	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3134066	47.65473092
-122.3131705	47.65568855	832	277208	PSL-L034	UNIVERSITY WAY NE 0400 BLOCK E SIDE ( 106) 106 FT N/O NE 40TH ST (NEUW-40-08)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	13210	109	13216	123	-26	PSL	106	L034	12034002	12034	University District	Core	E	1354	15806	87924	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3131705	47.65568855
-122.313373	47.65570738	1459	529905	PSL-L035	UNIVERSITY WAY NE 0400 BLOCK W SIDE ( 110) 110 FT N/O NE 40TH ST (NEUW-40-07)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	13209	109	13216	129	24	PSL	110	L035	12035002	12035	University District	Core	W	1354	15806	87975	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.313373	47.65570738
-122.3131479	47.65655217	11	529906	PSL-L036	UNIVERSITY WAY NE 0403 BLOCK E SIDE ( 108) 108 FT N/O NE CAMPUS WB PY (NEUW-40-42)                                                                                                                                                                             	GOOD	SDOT	INSVC	DISTRICT4	 	N	35842	109	13218	124	-26	PSL	108	L036	12036002	12036	University District	Core	E	1354	15806	87938	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3131479	47.65655217
-122.3133571	47.65646741	1546	529907	PSL-L037	UNIVERSITY WAY NE 0403 BLOCK W SIDE (  76) 76 FT N/O NE CAMPUS WB PY (NEUW-40-45)                                                                                                                                                                              	GOOD	SDOT	INSVC	DISTRICT4	 	N	35841	109	13218	92	25	PSL	76	L037	12037002	12037	University District	Core	W	1354	16131	87989	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3133571	47.65646741
-122.3131154	47.65794416	1494	529908	PSL-L038	UNIVERSITY WAY NE 0410 BLOCK E SIDE ( 389) 389 FT N/O NE 41ST ST (NEUW-41-28)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	58514	109	13219	406	-25	PSL	389	L038	12038002	12038	University District	Core	E	1354	15806	87952	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3131154	47.65794416
-122.3133186	47.65793291	607	529909	PSL-L039	UNIVERSITY WAY NE 0410 BLOCK W SIDE ( 386) 386 FT N/O NE 41ST ST (NEUW-41-37)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	58513	109	13219	401	25	PSL	386	L039	12039002	12039	University District	Core	W	1354	15806	88001	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3133186	47.65793291
-122.3130834	47.6588553	1515	529911	PSL-L041	UNIVERSITY WAY NE 0420 BLOCK E SIDE ( 182) 182 FT N/O NE 42ND ST (NEUW-42-14)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	13214	109	13220	198	-27	PSL	182	L041	12041002	12041	University District	Core	E	1354	15806	86682	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3130834	47.6588553
-122.3133057	47.6587348	299	529912	PSL-L042	UNIVERSITY WAY NE 0420 BLOCK W SIDE ( 134) 134 FT N/O NE 42ND ST (NEUW-42-11)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	13213	109	13220	153	27	PSL	134	L042	12042002	12042	University District	Core	W	1354	15806	87977	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3133057	47.6587348
-122.313287	47.65944894	300	529913	PSL-L043	UNIVERSITY WAY NE 0420 BLOCK W SIDE ( 395) 395 FT N/O NE 42ND ST (NEUW-42-33)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	13213	109	13220	414	27	PSL	395	L043	12043002	12043	University District	Core	W	1354	15806	88021	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.313287	47.65944894
